# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00569,0.00678,1.31834,0.01326,0.00945,3.06320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00574,0.00682,1.33057,0.01314,0.00910,3.07640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00580,0.00686,1.34285,0.01225,0.00882,3.09030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00585,0.00689,1.35518,0.01166,0.00933,3.10446,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00589,0.00693,1.36757,0.01118,0.00988,3.11821,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00594,0.00697,1.38002,0.01074,0.01018,3.13228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00598,0.00701,1.39252,0.01120,0.01079,3.14615,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00603,0.00705,1.40507,0.01194,0.01150,3.16056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00607,0.00710,1.41769,0.01247,0.01184,3.17524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00612,0.00714,1.43036,0.01314,0.01163,3.18983,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
